query_size	database_size	total_mean	method	source
10	1000	0.3570204004645348	tmvec1	results
100	1000	3.639643616974354	tmvec1	results
1000	1000	36.83497672900558	tmvec1	results
10	10000	0.3620841931551695	tmvec1	results
100	10000	3.7112678689882164	tmvec1	results
1000	10000	37.033713093027465	tmvec1	results
10	100000	0.3619683953002095	tmvec1	results
100	100000	3.6926424391567703	tmvec1	results
1000	100000	37.04244007915258	tmvec1	results
10	1000	0.018887652084231377	tmvec2	results
100	1000	0.20813734518984955	tmvec2	results
1000	1000	2.5303438842917485	tmvec2	results
10	10000	0.018893082315723102	tmvec2	results
100	10000	0.20776421017944813	tmvec2	results
1000	10000	2.5166884803523617	tmvec2	results
10	100000	0.01958063182731469	tmvec2	results
100	100000	0.20945562794804573	tmvec2	results
1000	100000	2.5168957859277725	tmvec2	results
10	1000	0.0202464209869504	tmvec2_student	results
100	1000	0.023880461230874058	tmvec2_student	results
1000	1000	0.20966728373120228	tmvec2_student	results
10	10000	0.01997960514078537	tmvec2_student	results
100	10000	0.023829461696247257	tmvec2_student	results
1000	10000	0.22745084421088302	tmvec2_student	results
10	100000	0.02139131507525841	tmvec2_student	results
100	100000	0.025088441247741382	tmvec2_student	results
1000	100000	0.2004722934216261	tmvec2_student	results
10	1000	0.43315305250386404	diamond	results
100	1000	1.1019795201718807	diamond	results
1000	1000	2.2669064191480484	diamond	results
10	10000	2.1373739254971347	diamond	results
100	10000	4.377004709094764	diamond	results
1000	10000	6.541757315397263	diamond	results
10	100000	18.289766351381942	diamond	results
100	100000	23.77625710144639	diamond	results
1000	100000	29.931284688413143	diamond	results
10	1000	2.194783903037508	foldseek_legacy	results
100	1000	3.9594164465864496	foldseek_legacy	results
1000	1000	31.875912304967642	foldseek_legacy	results
10	10000	2.4437485141679645	foldseek_legacy	results
100	10000	6.092533036135138	foldseek_legacy	results
1000	10000	60.565744168435536	foldseek_legacy	results
10	100000	5.772642791892093	foldseek_legacy	results
100	100000	16.177306079305712	foldseek_legacy	results
1000	100000	196.84314898556718	foldseek_legacy	results
